boardid,sprintid,name,vel_diff,planday,no_issue_starttime,vel_starttime,no_issue_added,vel_added,no_issue_removed,vel_removed,no_issuetodo,vel_todo,no_issueinprogress,vel_inprogress,no_issuedone,vel_done,no_admin,no_teammember,type_freq_Technical task,type_freq_Story,priority_freq_Critical,priority_freq_Blocker,priority_freq_Minor,priority_freq_Major,no_comment_min,no_comment_max,no_comment_mean,no_comment_median,no_comment_std,no_comment_var,no_comment_range,no_affectversion_min,no_affectversion_max,no_affectversion_mean,no_affectversion_median,no_affectversion_std,no_affectversion_var,no_affectversion_range,no_fixversion_min,no_fixversion_max,no_fixversion_mean,no_fixversion_median,no_fixversion_std,no_fixversion_var,no_fixversion_range,no_issuelink_min,no_issuelink_max,no_issuelink_mean,no_issuelink_median,no_issuelink_std,no_issuelink_var,no_issuelink_range,no_blocking_min,no_blocking_max,no_blocking_mean,no_blocking_median,no_blocking_std,no_blocking_var,no_blocking_range,no_blockedby_min,no_blockedby_max,no_blockedby_mean,no_blockedby_median,no_blockedby_std,no_blockedby_var,no_blockedby_range,no_fixversion_change_min,no_fixversion_change_max,no_fixversion_change_mean,no_fixversion_change_median,no_fixversion_change_std,no_fixversion_change_var,no_fixversion_change_range,no_priority_change_min,no_priority_change_max,no_priority_change_mean,no_priority_change_median,no_priority_change_std,no_priority_change_var,no_priority_change_range,no_des_change_min,no_des_change_max,no_des_change_mean,no_des_change_median,no_des_change_std,no_des_change_var,no_des_change_range,gunning_fog_freq_easy,type_freq_Bug,type_freq_New Feature,type_freq_Improvement,type_freq_Task,gunning_fog_freq_hard,priority_freq_Trivial,type_freq_Epic
5,34,43 - Babbage SR3,92,15,30,120,13,52,3,12,7,28,14,56,19,76,1,5,0.0,0.0,1.0,0.0,47.0,21.0,0.0,11.0,1.542857142857143,0.0,2.4535435142661552,6.019875776397516,11.0,0.0,2.0,0.6428571428571429,1.0,0.6817648514182876,0.46480331262939967,2.0,0.0,2.0,1.1142857142857143,1.0,0.5528020098659205,0.3055900621118013,2.0,0.0,3.0,0.37142857142857144,0.0,0.6409103256686182,0.4107660455486542,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.7714285714285715,0.0,1.866341290778457,3.4832298136645963,12.0,0.0,1.0,0.05714285714285714,0.0,0.23379132809659067,0.05465838509316771,1.0,0.0,3.0,0.3142857142857143,0.0,0.7526351223064153,0.5664596273291927,3.0,39.0,37.0,2.0,13.0,18.0,31.0,1.0,0.0
5,36,Sprint 4,-1,10,6,26,0,0,0,0,5,25,0,0,1,1,1,3,0.0,8.0,0.0,0.0,7.0,2.0,0.0,2.0,0.3333333333333333,0.0,0.7071067811865476,0.5,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,1.0,0.33333333333333337,0.11111111111111112,1.0,0.0,1.0,0.2222222222222222,0.0,0.44095855184409843,0.19444444444444445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7777777777777778,1.0,0.44095855184409843,0.19444444444444445,1.0,0.0,1.0,0.1111111111111111,0.0,0.3333333333333333,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0
5,37,44 - Codd GA,140,21,11,44,48,192,1,4,13,52,14,56,31,124,1,5,0.0,0.0,1.0,0.0,83.0,41.0,0.0,7.0,0.744,0.0,1.4419073389762425,2.0790967741935487,7.0,0.0,5.0,0.448,0.0,0.7345834896223891,0.5396129032258066,5.0,0.0,3.0,1.272,1.0,0.7337046958042187,0.5383225806451611,3.0,0.0,5.0,0.616,0.0,0.9400068633929257,0.8836129032258065,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.512,0.0,1.5166601677752758,2.300258064516128,13.0,0.0,2.0,0.048,0.0,0.24938634362590262,0.06219354838709677,2.0,0.0,4.0,0.312,0.0,0.7768422432950863,0.6034838709677421,4.0,69.0,39.0,22.0,23.0,41.0,56.0,0.0,0.0
5,38,Sprint 5,4,6,8,35,2,16,1,8,3,18,0,0,6,25,1,3,0.0,11.0,1.0,0.0,8.0,3.0,0.0,1.0,0.3333333333333333,0.0,0.49236596391733095,0.24242424242424246,1.0,0.0,1.0,0.8333333333333334,1.0,0.38924947208076144,0.1515151515151515,1.0,0.0,1.0,0.75,1.0,0.45226701686664544,0.20454545454545456,1.0,0.0,1.0,0.16666666666666666,0.0,0.3892494720807615,0.15151515151515152,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.7385489458759964,0.5454545454545454,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.16666666666666666,0.0,0.5773502691896257,0.33333333333333326,2.0,7.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0
5,40,45 - Dijkstra M1,81,10,0,0,45,180,1,4,18,72,9,36,17,68,1,3,0.0,1.0,0.0,0.0,51.0,28.0,0.0,11.0,0.9746835443037974,0.0,2.0691549343057027,4.281402142161637,11.0,0.0,3.0,0.379746835443038,0.0,0.6056104669258231,0.36676403765011345,3.0,0.0,3.0,1.1518987341772151,1.0,0.5567443733941723,0.3099642973060695,3.0,0.0,5.0,0.5949367088607594,0.0,0.9131375516594243,0.8338201882505678,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.4936708860759494,0.0,1.7236917575108215,2.9711132749107443,13.0,0.0,1.0,0.012658227848101266,0.0,0.11250879009260241,0.012658227848101269,1.0,0.0,6.0,0.2911392405063291,0.0,0.8937374526166353,0.7987666342096723,6.0,53.0,19.0,18.0,21.0,20.0,26.0,0.0,0.0
5,42,46 - Codd SR2,-28,16,33,132,2,8,0,0,27,108,7,28,1,4,1,3,0.0,0.0,1.0,0.0,32.0,21.0,0.0,11.0,1.0740740740740742,0.0,2.108847953865501,4.447239692522711,11.0,0.0,2.0,0.7407407407407407,1.0,0.6496787358520432,0.42208245981830894,2.0,0.0,3.0,1.2592592592592593,1.0,0.705375189478278,0.49755415793151664,3.0,0.0,5.0,0.7592592592592593,0.5,0.9892857187906912,0.9786862334032144,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.3888888888888889,0.0,1.8573329089291442,3.4496855345911963,13.0,0.0,1.0,0.018518518518518517,0.0,0.13608276348795434,0.018518518518518517,1.0,0.0,3.0,0.42592592592592593,0.0,0.8149974383997678,0.6642208245981833,3.0,22.0,24.0,11.0,7.0,12.0,32.0,0.0,0.0
5,44,47 - Dijkstra RC1,81,11,0,0,28,112,0,0,22,88,5,20,1,4,1,3,0.0,1.0,0.0,1.0,46.0,20.0,0.0,11.0,0.9558823529411765,0.0,1.9957703299310736,3.983099209833186,11.0,0.0,2.0,0.5735294117647058,0.0,0.6537190156029139,0.4273485513608428,2.0,0.0,3.0,1.1911764705882353,1.0,0.6290801847468165,0.3957418788410887,3.0,0.0,5.0,0.6911764705882353,0.0,0.9963718202630096,0.9927568042142232,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.3088235294117647,0.0,1.6773945053571273,2.813652326602282,13.0,0.0,1.0,0.014705882352941176,0.0,0.12126781251816653,0.014705882352941185,1.0,0.0,3.0,0.3235294117647059,0.0,0.7005579113690306,0.49078138718173847,3.0,34.0,27.0,12.0,13.0,15.0,34.0,1.0,0.0
5,48,48 - Dijkstra GA,202,14,19,76,19,76,1,4,22,88,8,32,7,28,1,4,0.0,1.0,1.0,1.0,88.0,33.0,0.0,14.0,0.8306451612903226,0.0,2.132679425418273,4.548321531602415,14.0,0.0,3.0,0.6774193548387096,1.0,0.6692841351818258,0.4479412536060845,3.0,0.0,3.0,1.2338709677419355,1.0,0.8564330544247175,0.7334775767112511,3.0,0.0,3.0,0.4838709677419355,0.0,0.8113410655690557,0.6582743246787307,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.25,0.0,1.009104891934842,1.0182926829268293,9.0,0.0,1.0,0.016129032258064516,0.0,0.1264828127237176,0.01599790191450302,1.0,0.0,3.0,0.1693548387096774,0.0,0.5056071644796427,0.2556386047731445,3.0,68.0,50.0,19.0,24.0,30.0,56.0,1.0,0.0
5,52,49 - Dijkstra SR1,25,8,35,140,5,20,2,8,29,116,2,8,7,28,1,4,0.0,1.0,0.0,1.0,50.0,26.0,0.0,11.0,1.3205128205128205,0.0,2.171202250855321,4.714119214119213,11.0,0.0,3.0,0.6923076923076923,1.0,0.5879237583686728,0.3456543456543456,3.0,0.0,2.0,1.064102564102564,1.0,0.7268459453729024,0.5283050283050282,2.0,0.0,5.0,0.6282051282051282,0.0,1.0078777286047726,1.0158175158175156,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.34615384615384615,0.0,0.9912201988042224,0.9825174825174823,6.0,0.0,1.0,0.02564102564102564,0.0,0.15908496254525537,0.025308025308025305,1.0,0.0,4.0,0.4230769230769231,0.0,0.7980370523121947,0.6368631368631366,4.0,31.0,29.0,16.0,20.0,12.0,47.0,1.0,0.0
5,53,50 - Evans M1,25,17,31,124,14,56,0,0,19,76,14,56,12,48,1,4,0.0,1.0,2.0,0.0,55.0,21.0,0.0,9.0,1.2278481012658229,0.0,2.062792276655835,4.255111976630963,9.0,0.0,3.0,0.3291139240506329,0.0,0.5482260199098538,0.3005517689061994,3.0,0.0,2.0,1.0126582278481013,1.0,0.6302964480809693,0.39727361246348597,2.0,0.0,5.0,0.6075949367088608,0.0,0.9925068173761511,0.9850697825381366,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.35443037974683544,0.0,0.8170926364257212,0.6676403765011357,4.0,0.0,1.0,0.06329113924050633,0.0,0.24504171031127583,0.060045439792275224,1.0,0.0,15.0,0.6582278481012658,0.0,1.8179029617086,3.3047711781888998,15.0,41.0,16.0,18.0,22.0,22.0,38.0,1.0,0.0
5,55,51 - Dijkstra SR2,-7,10,40,160,12,48,0,0,20,80,11,44,21,84,1,4,0.0,0.0,1.0,0.0,56.0,27.0,0.0,8.0,0.9880952380952381,0.0,1.7250391832046912,2.9757601835915084,8.0,0.0,3.0,0.6547619047619048,0.5,0.7837821128725629,0.614314400458979,3.0,0.0,3.0,1.0,1.0,0.7604691006293735,0.5783132530120482,3.0,0.0,7.0,0.7619047619047619,0.0,1.2185221902656604,1.4847963281698222,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.38095238095238093,0.0,0.8629560000058346,0.7446930579460701,4.0,0.0,1.0,0.05952380952380952,0.0,0.23802351185830545,0.05665519219736087,1.0,0.0,4.0,0.5,0.0,0.9378262484539215,0.8795180722891566,4.0,39.0,28.0,10.0,26.0,20.0,45.0,0.0,0.0
5,56,52 - Evans RC1,58,11,34,136,5,20,1,4,24,96,12,48,2,8,1,4,0.0,1.0,2.0,0.0,53.0,27.0,0.0,9.0,0.7804878048780488,0.0,1.6179883123378205,2.617886178861789,9.0,0.0,2.0,0.35365853658536583,0.0,0.5957037796374766,0.3548629930743753,2.0,0.0,3.0,0.975609756097561,1.0,0.6280601087082008,0.3944595001505571,3.0,0.0,7.0,0.7195121951219512,0.0,1.240015832673737,1.5376392652815414,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.2926829268292683,0.0,0.8087149519651956,0.6540198735320687,4.0,0.0,1.0,0.024390243902439025,0.0,0.15520673239323957,0.024089129780186683,1.0,0.0,3.0,0.2804878048780488,0.0,0.6530912295923369,0.42652815417043055,3.0,58.0,11.0,17.0,36.0,17.0,24.0,0.0,0.0
5,61,52 - Evans GA,218,16,3,12,6,24,0,0,9,36,0,0,0,0,1,4,0.0,2.0,0.0,2.0,42.0,33.0,0.0,7.0,0.3246753246753247,0.0,0.9926248886234393,0.9853041695146955,7.0,0.0,2.0,0.4155844155844156,0.0,0.73180831094246,0.5355434039644563,2.0,0.0,3.0,1.1818181818181819,1.0,0.6010357885673331,0.3612440191387559,3.0,0.0,3.0,0.22077922077922077,0.0,0.5287367423590282,0.27956254272043746,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.1038961038961039,0.0,0.5277662856051557,0.2785372522214628,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.16883116883116883,0.0,0.6767297019800719,0.45796308954203696,4.0,53.0,25.0,1.0,20.0,29.0,24.0,0.0,0.0
5,63,53 - Evans SR1,166,25,0,0,13,52,0,0,4,16,7,28,2,8,1,5,0.0,1.0,1.0,2.0,56.0,26.0,0.0,12.0,0.6,0.0,1.8657310580446427,3.480952380952382,12.0,0.0,3.0,0.8,1.0,0.783763812819726,0.6142857142857144,3.0,0.0,3.0,1.4588235294117646,1.0,0.9455779434075351,0.8941176470588237,3.0,0.0,6.0,0.4470588235294118,0.0,0.8797440422258808,0.7739495798319324,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.07058823529411765,0.0,0.4574316314805871,0.2092436974789916,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.16470588235294117,0.0,0.5530663187549723,0.30588235294117655,4.0,37.0,39.0,6.0,22.0,17.0,48.0,0.0,0.0
5,69,54 - Fowler M1,161,11,28,112,14,56,0,0,14,56,18,72,10,40,1,4,0.0,0.0,0.0,3.0,70.0,37.0,0.0,13.0,1.1090909090909091,0.0,2.3475361065330236,5.510925771476227,13.0,0.0,2.0,0.43636363636363634,0.0,0.6429186991458765,0.41334445371142614,2.0,0.0,3.0,1.3,1.0,0.9241906948065277,0.8541284403669726,3.0,0.0,6.0,0.5,0.0,0.9162147899288702,0.8394495412844036,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.13636363636363635,0.0,0.5498502336086615,0.30233527939949956,3.0,0.0,1.0,0.02727272727272727,0.0,0.16362246257329338,0.02677231025854879,1.0,0.0,2.0,0.20909090909090908,0.0,0.5085589380736307,0.25863219349457894,2.0,70.0,34.0,12.0,38.0,26.0,40.0,0.0,0.0
5,71,55 - Evans SR2,313,14,27,108,6,24,0,0,16,64,4,16,13,52,1,5,0.0,3.0,3.0,3.0,69.0,76.0,0.0,8.0,0.5263157894736842,0.0,1.4325791515460518,2.0522830254444058,8.0,0.0,3.0,0.5657894736842105,0.0,0.9110873543770001,0.8300801673056813,3.0,0.0,3.0,1.3289473684210527,1.0,0.975028040279241,0.9506796793307771,3.0,0.0,6.0,0.631578947368421,0.0,1.0337625646557593,1.0686650400836528,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.21052631578947367,0.0,0.9323585342500953,0.8692924363889861,7.0,0.0,1.0,0.019736842105263157,0.0,0.1395543871687348,0.01947542697804113,1.0,0.0,3.0,0.13157894736842105,0.0,0.45578271990694424,0.207737887765772,3.0,103.0,39.0,25.0,47.0,38.0,49.0,1.0,0.0
5,76,56 - Fowler RC1,59,15,42,168,11,44,1,4,42,168,4,16,6,24,1,4,0.0,1.0,3.0,2.0,71.0,31.0,0.0,7.0,0.7407407407407407,0.0,1.4557033844061122,2.119072343371409,7.0,0.0,3.0,0.5092592592592593,0.0,0.7549880282565157,0.5700069228106612,3.0,0.0,3.0,1.0740740740740742,1.0,0.8934204325109799,0.7982000692281065,3.0,0.0,7.0,0.7777777777777778,0.0,1.2922004223278114,1.6697819314641742,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.1388888888888889,0.0,0.7668156431174282,0.5880062305295951,7.0,0.0,1.0,0.018518518518518517,0.0,0.13544536999096837,0.018345448251990314,1.0,0.0,3.0,0.23148148148148148,0.0,0.5736663767412138,0.32909311180339224,3.0,64.0,24.0,26.0,36.0,21.0,44.0,1.0,0.0
